time	vout
6.62604166666667993E-10	-4.02822620081168825E-3
6.67812500000001208E-10	-3.87752415708125486E-3
6.73020833333334867E-10	-2.19152658815309698E-3
6.78229166666668171E-10	-3.75458372229210990E-4
6.83437500000001563E-10	1.47675019534905494E-3
6.88645833333334778E-10	3.25709560042790258E-3
6.93854166666668437E-10	5.30803916000814002E-3
6.99062500000001741E-10	7.89845291656523507E-3
7.04270833333334956E-10	9.08210576459214280E-3
7.09479166666668437E-10	9.87588219039834669E-3
7.14687500000001830E-10	1.06923756551880400E-2
7.19895833333335400E-10	1.16627305201792852E-2
7.25104166666668526E-10	1.26650535146796184E-2
7.30312500000002007E-10	1.31815271682021296E-2
7.35520833333335133E-10	1.35442197835804601E-2
7.40729166666668881E-10	1.38512666091509495E-2
7.45937500000002096E-10	1.41514984146615785E-2
7.51145833333335400E-10	1.43663272657147378E-2
7.56354166666668704E-10	1.43959781232791784E-2
7.61562500000002363E-10	1.42958936982744000E-2
7.66770833333335666E-10	1.41624262454195904E-2
7.71979166666669059E-10	1.41536795641167523E-2
7.77187500000002629E-10	1.41983245048205919E-2
7.82395833333335666E-10	1.43011244835392448E-2
7.87604166666669059E-10	1.44195885029485993E-2
7.92812500000002451E-10	1.45454910908706836E-2
7.98020833333336022E-10	1.46617999541672073E-2
8.03229166666669236E-10	1.46924894169215525E-2
8.08437500000002629E-10	1.46070064439534986E-2
8.13645833333336022E-10	1.43421308602923991E-2
8.18854166666669414E-10	1.40867287277282593E-2
8.24062500000002984E-10	1.39154732384228041E-2
8.29270833333336199E-10	1.37840718877828605E-2
8.34479166666669592E-10	1.36957802644365456E-2
8.39687500000002807E-10	1.36714196937188026E-2
8.44895833333336554E-10	1.37703501312790300E-2
8.50104166666669769E-10	1.39283575525166103E-2
8.55312500000002984E-10	1.40359216090478123E-2
8.60520833333336554E-10	1.40954389293706450E-2
8.65729166666669947E-10	1.40985861748584451E-2
8.70937500000003340E-10	1.41174505101766856E-2
8.76145833333336554E-10	1.41305562324165002E-2
8.81354166666669947E-10	1.41244725164733742E-2
8.86562500000003517E-10	1.41333496015057358E-2
8.91770833333336554E-10	1.42138393630324877E-2
8.96979166666669947E-10	1.44472187017885867E-2
9.02187500000003517E-10	1.47002690773740019E-2
9.07395833333336732E-10	1.49363596374659457E-2
9.12604166666670125E-10	1.51600294774534516E-2
9.17812500000003517E-10	1.53498287957035129E-2
9.23020833333336732E-10	1.54829115593723188E-2
9.28229166666670302E-10	1.55106867507278001E-2
9.33437500000003872E-10	1.54792063873592700E-2
9.38645833333337265E-10	1.54209702662079895E-2
9.43854166666670480E-10	1.53922842691776252E-2
9.49062500000003872E-10	1.54210700099711673E-2
9.54270833333337443E-10	1.54354667105492083E-2
9.59479166666670835E-10	1.54484131863764151E-2
9.64687500000003872E-10	1.54742415150500801E-2
9.69895833333337443E-10	1.54844468863984974E-2
9.75104166666670835E-10	1.54482318999798141E-2
9.80312500000004050E-10	1.53456404728403961E-2
9.85520833333337798E-10	1.52349475565735970E-2
9.90729166666671190E-10	1.51255962018783419E-2
9.95937500000004583E-10	1.50131496297264633E-2
1.00114583333333762E-9	1.49041850803685572E-2
1.00635416666667110E-9	1.47562421819250633E-2
1.01156250000000458E-9	1.46182198738944402E-2
1.01677083333333784E-9	1.44866792575212866E-2
1.02197916666667132E-9	1.43972355662337237E-2
1.02718750000000481E-9	1.43202947334558450E-2
1.03239583333333806E-9	1.42601614424196410E-2
1.03760416666667110E-9	1.43200365211720904E-2
1.04281250000000458E-9	1.44224058265961430E-2
1.04802083333333806E-9	1.45249630640615379E-2
1.05322916666667177E-9	1.46302247215191805E-2
1.05843750000000481E-9	1.47447680945908677E-2
1.06364583333333806E-9	1.48427954812344853E-2
1.06885416666667177E-9	1.49183114223179114E-2
1.07406250000000481E-9	1.49875628879405687E-2
1.07927083333333851E-9	1.50761316654958843E-2
1.08447916666667177E-9	1.47930270924741691E-2
1.08968750000000525E-9	1.31867141767415941E-2
1.09489583333333851E-9	1.15806886469573556E-2
1.10010416666667221E-9	9.97689918755363436E-3
1.10531250000000547E-9	8.31050375795745566E-3
1.11052083333333851E-9	6.29518526907816955E-3
1.11572916666667199E-9	3.63536329251311630E-3
1.12093750000000569E-9	2.25007608986424534E-3
1.12614583333333873E-9	1.20235795092694397E-3
1.13135416666667199E-9	1.57753979301064007E-4
1.13656250000000592E-9	-9.68135315643379357E-4
1.14177083333333895E-9	-2.01991733642310267E-3
1.14697916666667221E-9	-2.39448497550771089E-3
1.15218750000000569E-9	-2.57407249499902013E-3
1.15739583333333917E-9	-2.74854947367592795E-3
1.16260416666667243E-9	-3.00759476319014718E-3
1.16781250000000592E-9	-2.88645283658648344E-3
1.17302083333333917E-9	-1.37148502349797274E-3
1.17822916666667288E-9	1.51845390219173204E-4
1.18343750000000592E-9	1.62836722780682619E-3
1.18864583333333917E-9	3.02828370972014138E-3
1.19385416666667288E-9	4.78726238219487321E-3
1.19906250000000636E-9	7.23252341379529362E-3
1.20427083333333984E-9	8.41796896257481997E-3
1.20947916666667288E-9	9.28755647835516918E-3
1.21468750000000592E-9	1.02071644714505783E-2
1.21989583333334006E-9	1.13306683686719634E-2
1.22510416666667288E-9	1.24450930641548418E-2
1.23031250000000636E-9	1.28942230465635843E-2
1.23552083333334006E-9	1.31004621576166991E-2
1.24072916666667310E-9	1.32129355571476603E-2
1.24593750000000680E-9	1.33651373686466357E-2
1.25114583333334028E-9	1.31104905547608319E-2
1.25635416666667310E-9	1.14025131618638387E-2
1.26156250000000658E-9	9.64310347781905541E-3
1.26677083333334028E-9	7.91097041372567311E-3
1.27197916666667332E-9	6.34359392292551938E-3
1.27718750000000680E-9	4.43376356533879701E-3
1.28239583333334051E-9	1.82571905107815047E-3
1.28760416666667377E-9	5.27792670125549357E-4
1.29281250000000680E-9	-4.17533780275284627E-4
1.29802083333334028E-9	-1.36501903393422808E-3
1.30322916666667399E-9	-2.48021387428750728E-3
1.30843750000000703E-9	-3.57603761036552470E-3
1.31364583333334028E-9	-4.07203751607078335E-3
1.31885416666667421E-9	-4.33764576001134294E-3
1.32406250000000747E-9	-4.50384903980359841E-3
1.32927083333334051E-9	-4.69568104329730929E-3
1.33447916666667377E-9	-4.47308569768502196E-3
1.33968750000000747E-9	-2.76405141815730548E-3
1.34489583333334117E-9	-9.37969095440943335E-4
1.35010416666667421E-9	8.99679960043452098E-4
1.35531250000000725E-9	2.57464713789686694E-3
1.36052083333334117E-9	4.53535287371071760E-3
1.36572916666667421E-9	7.09720398342486192E-3
1.37093750000000769E-9	8.27983212560300252E-3
1.37614583333334095E-9	9.09491499395558556E-3
1.38135416666667465E-9	9.92804956692355844E-3
1.38656250000000791E-9	1.09508163397454306E-2
1.39177083333334140E-9	1.20007259912048347E-2
1.39697916666667465E-9	1.25442365092949482E-2
1.40218750000000769E-9	1.28858523705053218E-2
1.40739583333334117E-9	1.31340358016230430E-2
1.41260416666667510E-9	1.33818594359168230E-2
1.41781250000000836E-9	1.35669578497340848E-2
1.42302083333334140E-9	1.35842411810327990E-2
1.42822916666667488E-9	1.34769870758117638E-2
1.43343750000000858E-9	1.33508030424065094E-2
1.43864583333334117E-9	1.34021530345564344E-2
1.44385416666667488E-9	1.34951962104877943E-2
1.44906250000000858E-9	1.36095156477229606E-2
1.45427083333334184E-9	1.37686369451940482E-2
1.45947916666667510E-9	1.39370811262810967E-2
1.46468750000000858E-9	1.40773786217306540E-2
1.46989583333334228E-9	1.41129754664207385E-2
1.47510416666667510E-9	1.40531213767590479E-2
1.48031250000000858E-9	1.38639232026558346E-2
1.48552083333334228E-9	1.36967427275945219E-2
1.49072916666667532E-9	1.36160842021628170E-2
1.49593750000000858E-9	1.35848352898562452E-2
1.50114583333334251E-9	1.32197571578835271E-2
1.50635416666667576E-9	1.16272275840483008E-2
1.51156250000000880E-9	1.01526751788484493E-2
1.51677083333334295E-9	8.73468959819366297E-3
1.52197916666667576E-9	7.15710338875823737E-3
1.52718750000000925E-9	5.19326540680468618E-3
1.53239583333334228E-9	2.55930779928758056E-3
1.53760416666667599E-9	1.21688851621355587E-3
1.54281250000000947E-9	2.03032830626345184E-4
1.54802083333334228E-9	-8.56639408887165210E-4
1.55322916666667599E-9	-1.95201129313840815E-3
1.55843750000000925E-9	-2.89252937595514759E-3
1.56364583333334251E-9	-3.00840378116211138E-3
1.56885416666667643E-9	-2.94626054689528027E-3
1.57406250000000902E-9	-2.91987424869552559E-3
1.57927083333334339E-9	-2.94421134080466773E-3
1.58447916666667643E-9	-2.57138367183577454E-3
1.58968750000000947E-9	-7.97237680386518655E-4
1.59489583333334295E-9	8.78651152634953370E-4
1.60010416666667643E-9	2.47293000815996367E-3
1.60531250000000991E-9	4.08765944199703757E-3
1.61052083333334317E-9	6.09184760103476819E-3
1.61572916666667621E-9	8.81402801951631254E-3
1.62093750000000991E-9	1.01607055015019676E-2
1.62614583333334362E-9	1.11469473765904081E-2
1.63135416666667643E-9	1.21645754206354351E-2
1.63656250000001036E-9	1.32464099605806407E-2
1.64177083333334362E-9	1.41912678242262391E-2
1.64697916666667732E-9	1.43718692539943449E-2
1.65218750000001036E-9	1.43588616949571302E-2
1.65739583333334339E-9	1.43238466976057177E-2
1.66260416666667643E-9	1.43090266334810723E-2
1.66781250000001036E-9	1.38788573069969479E-2
1.67302083333334384E-9	1.19910826528796344E-2
1.67822916666667710E-9	1.01237219997149719E-2
1.68343750000001080E-9	8.30615348679202015E-3
1.68864583333334406E-9	6.53172325387769792E-3
1.69385416666667732E-9	4.43655783864231879E-3
1.69906250000001036E-9	1.70561662583958373E-3
1.70427083333334362E-9	4.34147705655229821E-4
1.70947916666667754E-9	-4.57293156881993479E-4
1.71468750000001058E-9	-1.38350933407799470E-3
1.71989583333334450E-9	-2.39622430854425650E-3
1.72510416666667776E-9	-3.33259001540787070E-3
1.73031250000001102E-9	-3.66522134006139266E-3
1.73552083333334406E-9	-3.84269900915626517E-3
1.74072916666667732E-9	-4.00407085139212882E-3
1.74593750000001102E-9	-4.16045204000224622E-3
1.75114583333334473E-9	-4.22335452122422161E-3
1.75635416666667710E-9	-4.03299462235232120E-3
1.76156250000001124E-9	-3.78825675509472948E-3
1.76677083333334450E-9	-3.54963428837133854E-3
1.77197916666667754E-9	-3.35170186537223014E-3
1.77718750000001080E-9	-3.19209943667512963E-3
1.78239583333334473E-9	-3.08146078809244273E-3
1.78760416666667843E-9	-3.21392510154023769E-3
1.79281250000001169E-9	-3.39445812152416515E-3
1.79802083333334473E-9	-3.52926651121605595E-3
1.80322916666667799E-9	-3.65927814514210326E-3
1.80843750000001102E-9	-3.77631243569518915E-3
